id_log,id_solicitud,texto_original,id_oficio_predicho,confianza,modelo_version
1,104,Se levantó teja por viento y hay filtración,12,0.365,nlp-café-0.4
2,50,"Mudanza de apartamento, tercer piso sin ascensor",1,0.682,nlp-café-0.4
3,78,Se tapó el sanitario y huele fuerte,7,0.3,nlp-arepa-0.3
4,63,La lavadora no exprime y hace ruido,4,0.373,nlp-arepa-0.3
5,133,"Mudanza de apartamento, tercer piso sin ascensor",12,0.766,nlp-arepa-0.3
6,53,Se tapó el sanitario y huele fuerte,6,0.439,nlp-café-0.4
7,138,"Mudanza de apartamento, tercer piso sin ascensor",12,0.685,nlp-koala-0.2
8,98,"Puerta no abre, cerradura dañada",12,0.376,nlp-café-0.4
9,137,Da chispazos el tomacorriente de la caja,12,0.3,nlp-arepa-0.3
10,81,"Mudanza de apartamento, tercer piso sin ascensor",10,0.3,nlp-café-0.4
11,43,Da chispazos el tomacorriente de la caja,4,0.598,nlp-café-0.4
12,101,Goteo en tubo del lavamanos,8,0.726,nlp-arepa-0.3
13,44,Goteo en tubo del lavamanos,5,0.3,nlp-koala-0.2
14,42,Goteo en tubo del lavamanos,12,0.439,nlp-arepa-0.3
15,11,El computador no enciende después de apagón,1,0.438,nlp-arepa-0.3
16,142,La lavadora no exprime y hace ruido,10,0.561,nlp-koala-0.2
17,5,"Puerta no abre, cerradura dañada",7,0.704,nlp-koala-0.2
18,70,La lavadora no exprime y hace ruido,10,0.521,nlp-arepa-0.3
19,92,Da chispazos el tomacorriente de la caja,7,0.512,nlp-koala-0.2
20,1,El computador no enciende después de apagón,3,0.534,nlp-café-0.4
21,147,La lavadora no exprime y hace ruido,6,0.533,nlp-café-0.4
22,11,El computador no enciende después de apagón,1,0.398,nlp-arepa-0.3
23,171,"Mudanza de apartamento, tercer piso sin ascensor",2,0.689,nlp-café-0.4
24,61,Se tapó el sanitario y huele fuerte,2,0.571,nlp-café-0.4
25,122,Goteo en tubo del lavamanos,2,0.357,nlp-café-0.4
26,28,Se tapó el sanitario y huele fuerte,7,0.532,nlp-arepa-0.3
27,61,Se tapó el sanitario y huele fuerte,2,0.3,nlp-arepa-0.3
28,95,Da chispazos el tomacorriente de la caja,11,0.749,nlp-koala-0.2
29,1,El computador no enciende después de apagón,3,0.328,nlp-café-0.4
30,89,Goteo en tubo del lavamanos,11,0.632,nlp-café-0.4
31,104,Se levantó teja por viento y hay filtración,12,0.3,nlp-café-0.4
32,92,Da chispazos el tomacorriente de la caja,7,0.587,nlp-koala-0.2
33,92,Da chispazos el tomacorriente de la caja,7,0.432,nlp-koala-0.2
34,143,"Mudanza de apartamento, tercer piso sin ascensor",8,0.357,nlp-café-0.4
35,50,"Mudanza de apartamento, tercer piso sin ascensor",1,0.695,nlp-café-0.4
36,171,"Mudanza de apartamento, tercer piso sin ascensor",2,0.707,nlp-arepa-0.3
37,111,La lavadora no exprime y hace ruido,5,0.469,nlp-koala-0.2
38,129,"Necesito pintar sala y comedor, humedad en pared",10,0.657,nlp-café-0.4
39,5,"Puerta no abre, cerradura dañada",7,0.592,nlp-café-0.4
40,121,Goteo en tubo del lavamanos,1,0.3,nlp-café-0.4
41,9,La lavadora no exprime y hace ruido,10,0.3,nlp-café-0.4
42,53,Se tapó el sanitario y huele fuerte,6,0.457,nlp-café-0.4
43,32,La lavadora no exprime y hace ruido,12,0.3,nlp-arepa-0.3
44,76,Goteo en tubo del lavamanos,10,0.382,nlp-arepa-0.3
45,34,"Mudanza de apartamento, tercer piso sin ascensor",4,0.561,nlp-koala-0.2
46,101,Goteo en tubo del lavamanos,8,0.49,nlp-café-0.4
47,88,La lavadora no exprime y hace ruido,2,0.773,nlp-café-0.4
48,103,Se levantó teja por viento y hay filtración,9,0.691,nlp-arepa-0.3
49,43,Da chispazos el tomacorriente de la caja,4,0.381,nlp-koala-0.2
50,97,Goteo en tubo del lavamanos,5,0.3,nlp-koala-0.2
51,30,"Necesito pintar sala y comedor, humedad en pared",4,0.394,nlp-arepa-0.3
52,157,La lavadora no exprime y hace ruido,12,0.558,nlp-arepa-0.3
53,36,La lavadora no exprime y hace ruido,7,0.389,nlp-arepa-0.3
54,46,Se tapó el sanitario y huele fuerte,2,0.311,nlp-koala-0.2
55,32,La lavadora no exprime y hace ruido,12,0.565,nlp-arepa-0.3
56,61,Se tapó el sanitario y huele fuerte,2,0.329,nlp-café-0.4
57,166,Goteo en tubo del lavamanos,10,0.596,nlp-arepa-0.3
58,8,"Puerta no abre, cerradura dañada",6,0.355,nlp-arepa-0.3
59,123,El computador no enciende después de apagón,6,0.74,nlp-arepa-0.3
60,139,Se levantó teja por viento y hay filtración,2,0.373,nlp-arepa-0.3
61,96,Se levantó teja por viento y hay filtración,8,0.558,nlp-café-0.4
62,112,"Necesito pintar sala y comedor, humedad en pared",11,0.396,nlp-koala-0.2
63,60,Se tapó el sanitario y huele fuerte,7,0.521,nlp-arepa-0.3
64,2,"Mudanza de apartamento, tercer piso sin ascensor",3,0.493,nlp-koala-0.2
65,36,La lavadora no exprime y hace ruido,7,0.372,nlp-café-0.4
66,90,La lavadora no exprime y hace ruido,10,0.331,nlp-koala-0.2
67,180,"Puerta no abre, cerradura dañada",9,0.697,nlp-café-0.4
68,15,La lavadora no exprime y hace ruido,11,0.3,nlp-koala-0.2
69,101,Goteo en tubo del lavamanos,8,0.3,nlp-koala-0.2
70,24,"Puerta no abre, cerradura dañada",3,0.758,nlp-koala-0.2
71,121,Goteo en tubo del lavamanos,1,0.342,nlp-café-0.4
72,37,Se tapó el sanitario y huele fuerte,2,0.58,nlp-arepa-0.3
73,127,La lavadora no exprime y hace ruido,9,0.3,nlp-arepa-0.3
