id_solicitud,id_solicitante,id_oficio,descripcion_usuario,urgencia,id_barrio_servicio,fecha_creacion,estado,precio_estimado_mercado,flag_alerta
1,22,3,El computador no enciende después de apagón,MEDIA,5,2025-08-09 12:42:00,ABIERTA,164500,False
2,67,3,"Mudanza de apartamento, tercer piso sin ascensor",ALTA,4,2025-06-05 17:26:00,CERRADA,164500,False
3,124,8,La lavadora no exprime y hace ruido,BAJA,35,2025-04-26 12:04:00,CERRADA,338776,False
4,186,11,El computador no enciende después de apagón,BAJA,38,2025-05-31 16:07:00,ABIERTA,230794,True
5,173,7,"Puerta no abre, cerradura dañada",BAJA,17,2025-10-03 09:02:00,CERRADA,81504,False
6,56,12,Goteo en tubo del lavamanos,MEDIA,13,2025-07-22 12:43:00,EN_PROCESO,184088,False
7,148,1,Da chispazos el tomacorriente de la caja,MEDIA,24,2025-10-20 20:26:00,ABIERTA,79204,False
8,106,6,"Puerta no abre, cerradura dañada",BAJA,23,2025-08-19 17:11:00,ABIERTA,149148,True
9,142,10,La lavadora no exprime y hace ruido,BAJA,11,2025-10-03 09:05:00,ABIERTA,289732,False
10,27,2,Se levantó teja por viento y hay filtración,ALTA,42,2025-05-19 20:32:00,EN_PROCESO,83188,True
11,149,1,El computador no enciende después de apagón,MEDIA,43,2025-09-12 09:12:00,CERRADA,105115,False
12,121,2,"Necesito pintar sala y comedor, humedad en pared",MEDIA,23,2025-06-20 15:17:00,ABIERTA,73907,True
13,169,5,La lavadora no exprime y hace ruido,MEDIA,20,2025-05-02 06:09:00,EN_PROCESO,182843,False
14,96,9,La lavadora no exprime y hace ruido,BAJA,48,2025-06-24 18:12:00,ABIERTA,145931,False
15,158,11,La lavadora no exprime y hace ruido,ALTA,26,2025-06-07 16:33:00,CERRADA,125261,False
16,41,7,La lavadora no exprime y hace ruido,ALTA,15,2025-10-01 11:20:00,CERRADA,154876,False
17,53,2,Se levantó teja por viento y hay filtración,ALTA,6,2025-05-14 18:01:00,ABIERTA,111371,True
18,191,12,Goteo en tubo del lavamanos,MEDIA,9,2025-07-09 13:46:00,EN_PROCESO,125999,False
19,200,7,"Puerta no abre, cerradura dañada",MEDIA,50,2025-10-01 09:07:00,EN_PROCESO,170973,True
20,118,10,Da chispazos el tomacorriente de la caja,ALTA,8,2025-05-13 17:58:00,ABIERTA,277058,False
21,54,7,Da chispazos el tomacorriente de la caja,MEDIA,7,2025-06-16 19:24:00,CERRADA,155752,True
22,81,11,Se tapó el sanitario y huele fuerte,ALTA,29,2025-05-24 17:30:00,ABIERTA,125261,False
